2016-10-11 01:28:54	admin	http://localhost/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' (line 24 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-11 13:33:43	guest	http://localhost/	Parse Error: 	syntax error, unexpected '.' (line 13 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-11 13:33:52	guest	http://localhost/	Parse Error: 	syntax error, unexpected '.' (line 13 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-11 13:34:02	guest	http://localhost/	Parse Error: 	syntax error, unexpected '.' (line 13 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-11 13:34:23	admin	http://localhost/	Parse Error: 	syntax error, unexpected '.' (line 13 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-11 13:48:01	admin	http://localhost/	Parse Error: 	syntax error, unexpected '.' (line 13 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-11 14:37:15	admin	http://localhost/product-1/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' (line 11 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\product.php)
2016-10-11 16:33:56	?	http://localhost/?/	Error: 	Exception: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'processwire-snipcart.fields' doesn't exist (in C:\xampp\htdocs\wire\core\WireSaveableItems.php line 153)
2016-10-11 16:34:08	?	http://localhost/?/	Error: 	Exception: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'processwire-snipcart.fields' doesn't exist (in C:\xampp\htdocs\wire\core\WireSaveableItems.php line 153)
2016-10-11 16:40:09	?	http://localhost/?/	Error: 	Exception: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'processwire-snipcart.fields' doesn't exist (in C:\xampp\htdocs\wire\core\WireSaveableItems.php line 153)
2016-10-11 16:42:26	?	http://localhost/?/	Error: 	Exception: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'processwire-snipcart.fields' doesn't exist (in C:\xampp\htdocs\wire\core\WireSaveableItems.php line 153)
